Film 	Lead Studio	Rotten Tomatoes %	Audience  score %	Story	Genre	Number of Theatres in US Opening Weekend	Box Office Average per US Cinema (Opening Weekend)	Domestic Gross	Foreign Gross	Worldwide Gross	Budget	Profitability	Opening Weekend
The Eagle	Universal	39	43	Quest	Action	2296	3782	19.49	7.63	27.12	25	108.48%	8.68
The Expendables	Independent	40	58	Pursuit	Action	3270	10650	103.07	171.4	274.47	82	334.72%	34.8
The Express	Independent	62	73	Maturation	Biopic	2808	1625	9.79	0.01	9.8	37.5	26.13%	4.56
The Eye	Lionsgate	22	51	Sacrifice	Horror	2436	5101	31.42	25.55	56.96	12	474.70%	12.4
The Fighter	Paramount	91	88	Underdog	Drama	2503	4848	93	35	128	25	512.00%	12
The Final Destination 	Warner Bros.	29	52	Escape	Horror	3121	8782	66.5	119.3	185.8	40	464.50%	27.4
The Forbidden Kingdom	Relativity Media	64	65	journey & return	Action	3151	6791	52.08	75.9	127.98	55	232.69%	21.4
The Fourth Kind 	Universal	18	44	Monster Force	Mystery	2527	4840	25.48	22.22	47.7	10	477.00%	12.2
The Game Plan	Disney	27	75	Discovery	Comedy	3103	7396	90.64	57.23	147.87	22	672.13%	22.9
The Ghost Writer	Summit	83	68	The Riddle	Mystery	819	2520	15.54	44.48	60.02	45	133.38%	2
The Girl With The Dragon Tattoo	Sony	87	89		Thriller	2914	4382	102.06	127.13	229.19	90	254.66%	12.76
The Golden Compass	Warner Bros.	42	55	Rescue	Action	3528	7308	70.11	302.13	372.23	180	206.80%	25.7
The Greatest	Independent	52	39	Discovery	Drama			0.11	0.3	0.41	6	6.83%	0.3
The Green Hornet	Columbia	44	47	Rivalry	Action	3584	9335	98.8	129	227.8	120	189.83%	33.5
The Hangover 	Warner Bros.	79	87	Comedy	Comedy	3269	13759	277.3	190.16	467.46	35	1335.60%	45
The Hangover Part II	Legendary Pictures	35	58	Comedy	Comedy	3615	23775	254.46	327	581.46	80	726.83%	85.95
The Happening	Fox	19	29	escape	Thriller	2986	10220	64.51	98.89	163.4	48	340.41%	30.52
The Haunting in Connecticut 	Lionsgate	17	51	Monster Force	Drama	2732	8420	55.39	22.13	77.52	30	258.40%	23
The Haunting of Molly Hartley	Independent	3	22	sacrifice	Horror	2652	2045	13.56	1.33	14.89	5	297.80%	5.4
The Heartbreak Kid	Paramount	30	41	Love	Comedy	3229	4342	36.79	90.98	127.77	60	212.94%	14
The Help	DreamWorks Pictures	75	91	Maturation	Drama	2534	10278	169.22	37.02	206.24	25	824.98%	26.04
The Hills Have Eyes 2	Independent	11	50	Monster Force	Horror	2447	3958	20.8	16.66	37.47	15	249.77%	9.7
The House Bunny	Sony	39	54	Discovery	Comedy	2714	5355	48.24	22.2	70.44	25	281.75%	14.53
The Hurt Locker 	Independent	97	83	Quest	Drama	4	36338	17.01	32.21	49.22	15	328.13%	0.14
The Ides of March	Columbia	85	76	Transformation	Thriller	2199	4761	40.49	13.7	54.19	12.5	433.55%	10.47
The Incredible Hulk	Universal	67	75	Metamorphosis	Action	3505	15810	134.53	128.62	263.15	137.5	191.38%	55.14
The Informant! 	Warner Bros.	78	42	Comedy	Comedy	2505	4177	33.31	8.45	41.76	22	189.82%	10.5
The International 	Sony	58	39	The Riddle	Action	2364	3947	25.4	34.7	60.1	50	120.20%	9.3
The Invasion	Warner Bros.	19	43	Monster Force	Sci-Fi	2776	2143	15.07	25.1	40.17	80	50.21%	5.6
The Invention of Lying 	Warner Bros.	56	47	Love	Comedy	1707	4117	18.45	13.95	32.4	18.5	175.14%	7
The Iron Lady	Weinstein Company	53	54		Drama	802	6749	27.94	53.47	81.41	13	626.23%	5.41
The Joneses	Independent	61	47	Temptation	Comedy			1.48	0.49	1.97	10	19.70%	0.51
The Karate Kid	Sony	66	75	Underdog	Action	3663	15197	176.59	182.53	359.12	40	897.80%	55.7
The Kids Are All Right	Independent	94	72	Comedy	Comedy	847	4162	20.81	8.55	29.36	4	734.00%	3.5
The Killer Inside Me	Independent	56	41	The Riddle	Crime			0.22	3.36	3.58	13	27.54%	11.1
The King's Speech	Independent	95	93	Maturation	Biography	700	6406	138.79	288.57	427.36	15	2849.07%	4.4
The Kingdom		52	78	Quest	Action	2793	6135	47.54	39.07	86.61	80	108.26%	17.1
The Kite Runner	Paramount	66	85	Maturation	Drama	715	2243	15.8	57.39	73.19	20	365.97%	1.6
The Last Airbender	Paramount	6	42	Quest	Action	3169	12725	131.77	187.35	319.12	150	212.75%	40.3
The Last Exorcism	Independent	73	32	Monster Force	Drama	2874	7087	41.03	25.42	66.45	1.8	3691.67%	20.4
The Last Song	Disney	19	66	Discovery	Drama	2673	5989	62.95	26.09	89.04	20	445.20%	16
The Lincoln Lawyer	Lionsgate	84	82	Fish Out Of Water	Drama	2707	4879	58.01	17	75.01	40	187.52%	13.21
The Longshots	Independent	39	39	Quest	Comedy	2089	1953	11.51	0.23	11.74	30	39.14%	4
The Losers	Warner Bros.	47	55	Revenge	Action	2936	3204	23.59	5.79	29.38	25	117.52%	9.4
The Love Guru	Paramount	14	38	Comedy	Comedy	3012	4617	32.2	8.63	40.83	62	65.85%	13.91
The Lovely Bones 	Paramount	32	57	Tragedy	Drama	2563	6635	44	50.78	94.78	65	145.82%	17
The Mechanic	Independent	53	52	Revenge	Action	2703	4226	29.2	22	51.2	40	128.00%	11.4
The Men Who Stare at Goats 	Independent	52	43	Comedy	Comedy	2443	5201	32.4	36.54	68.94	25	275.76%	12.7
The Mist	The Weinstein Company	72	64	Monster Force	Horror	2423	3686	25.59	31.24	56.83	18	315.72%	8.9
The Mummy: Tomb of the Dragon Emperor	Universal	14	40	Quest	Action	3760	10760	102.28	298.63	400.91	145	276.49%	40.5
The Muppets	Disney	97	87	Quest	Comedy	3440	8500	88.54	69.8	158.34	45	351.87%	29.24
The Nanny Diaries	The Weinstein Company	33	52	Discovery	Comedy	2629	2845	25.93	21.07	47	20	235.00%	7.5
The Next Three Days	Lionsgate	51	66	Rescue	Crime	2564	2552	21.15	20.6	41.75	30	139.17%	6.54
The Other Boleyn Girl	Independent	41	65	tragedy	Drama	1166	7035	26.81	50.9	77.71	40	194.28%	8.2
The Other Guys	Sony	78	57	Comedy	Action	3651	9735	119.22	51.05	170.27	100	170.27%	35.5
The Pink Panther 2 	Sony	12	47	Comedy	Adventure	3243	3573	35.92	40.02	75.94	59	128.71%	11.6
The Pirates Who Don't Do Anything	Universal	41		Fish Out of Water				12.73	0.17	12.9	15	85.98%	4.25
The Princess and the Frog 	Disney	84	72	Metamorphosis	Animation	3434	7050	104.4	162.64	267.04	105	254.32%	24.2
The Proposal 	Disney	43	74	Love	Comedy	3056	11004	164	150.7	314.7	40	786.75%	33.6
The Reaping		9	53	Quest	Horror	2603	3851	25.13	37.64	62.77	40	156.93%	10
The Rite	Warner Bros	20	43	Monster Force	Horror	2985	4955	33	63	96	37	259.46%	14.8
The Road 	The Weinstein Company	75	65	Quest	Adventure	111	13534	7.9	19.51	27.41	25	109.64%	1.5
The Roommate	Independent	4	29	Monster Force	Horror	2534	5921	37.3	3.19	40.49	16	253.08%	15
The Ruins	Paramount	46	32	rescue	Horror	2812	2846	17.43	5.3	22.73	25	90.91%	8
The Rum Diary	Independent	50	48	Discovery	Drama	2273	2259	13.07	8.48	21.55	45	47.89%	5.14
The Runaways	Independent	68	56	Maturation	Biography	244	3300	3.57	1.11	4.68	10	46.80%	0.8
The Secret Life of Bees	Fox	56	78	Maturation	Drama	1591	6617	37.43	2.18	39.61	11	360.10%	10.53
The Simpsons Movie	Fox	90	78	Maturation	Comedy	3922	18877	183.14	343.93	527.07	75	702.76%	74
The Sisterhood of the Traveling Pants 2	Warner Bros.	65	67	Journey and Return		2707	3945	44.09	0.26	44.35	27	164.26%	10.68
The Sitter	Fox	22	43		Comedy	2750	2582	30.44	4.14	34.58	25	138.32%	9.85
The Smurfs	Sony Pictures Animation	23	50	Fish Out Of Water	Animation	3395	10489	142.61	419.54	562.16	110	511.05%	35.61
The Social Network	Sony	96	89	Rags to Riches	Biography	2771	8100	94.08	105.52	199.6	50	399.20%	22.4
The Soloist 	Paramount	56	59	Quest	Drama	2024	4801	31.7	6.73	38.43	60	64.05%	9.7
The Son Of No One	Independent	18	61	Discovery	Thriller	10	1802	0.03	?	0.03	15	0.20%	0.02
The Sorcerer's Apprentice	Disney	42	57	Pursuit	Action	3504	5028	63.15	152.13	215.28	150	143.52%	17.6
The Spiderwick Chronicles	Paramount	79	67	fish out of water	Fantasy	3847	4940	71.2	91.64	162.84	92.5	176.04%	19
The Spirit	Lionsgate	14	29	rivalry	Action	2509	2576	17.75	19.23	36.98	6	616.32%	6.5
The Spy Next Door	Relativity Media	13	46	Rivalry	Action	2924	3326	24.31	19.27	43.58			9.7
The Stepfather	Sony	12	48	Rescue	Mystery	2734	4236	29.1	2.13	31.2	20	156.00%	11.6
The Strangers	Relativity Media	44	48	Escape	Horror	2466	8515	52.6	29.79	82.39	9	915.45%	20.99
The Switch	Independent	52	44	Comedy	Comedy	2012	4193	27.78	19.95	47.73	19	251.21%	8.4
The Taking of Pelham 1 2 3 	Sony	51	60	Rescue	Action	3074	7603	65.45	84.71	150.16	100	150.16%	23.37
The Tale of Despereaux	Universal	54	46	Rescue	Animation	3104	3255	50.87	37.84	88.71	55	161.29%	10.1
The Thing	Universal	36	52	Monster Force	Horror	2996	2835	16.93	10.5	27.43	38	72.18%	8.49
The Three Musketeers	Independent	24	48	Rivalry	Action	3017	2875	20.25	111.9	132.15	75	176.20%	8.67
The Time Traveler's Wife 	Paramount	38	65	Love	Drama	2988	6233	63.41	37.92	101.33	39	259.82%	18.6
The Tourist	Sony	20	44		Thriller	2756	5977	67	210	277	100	277.00%	16
The Town	Warner Bros.	94	83	Rivalry	Crime	2856	8322	92.18	52.37	144.55	37	390.68%	23.8
The Tree Of Life	Independent	84	61	Discovery	Drama	4	93230	13.3	41	54.3	32	169.70%	0.37
"The Twilight Saga: Eclipse	"	Summit	50	74	Monster Force	Drama	4468	14510	300.53	393.05	693.58	68	1019.97%	64.8
The Twilight Saga: New Moon 	Summit	27	78	Love	Drama	4024	35497	296.62	413.2	709.82	50	1419.64%	142.8
The Ugly Truth 	Independent	14	68	Love	Comedy	2882	9579	88.9	116.4	205.3	38	540.26%	27.6
The Unborn	Relativity Media	11	39	Monster Force	Horror	2357	8405	42.67	33.84	76.51	16	478.19%	19.8
The Uninvited 	Paramount	31	52	Monster Force	Drama	2344	4405	28.6	14.1	42.7			10.3
The Visitor	Independent	92	83	Transformation	Drama			9.43	8.65	18.08	4	451.95%	0.09
The Wolfman	Universal	33	38	Monster Force	Drama	3222	9770	61.98	77.81	139.79	150	93.19%	31.5
The Women	Warner Bros.	13	41	Transformation	Drama	2962	3415	26.9	23.11	50.01	16	312.54%	10.12
The X-Files: I Want to Believe	Fox	32	34	monster force	Thriller	3185	3147	20.98	47.39	68.37	35	195.34%	10.1
There Will Be Blood	Paramount	91	84	Wretched Excess	Drama	885	5502	40.22	35.96	76.18	25	304.73%	4.9
Thor	Disney	77	80	Monster Force	Action	3955	16618	181.03	267.48	448.51	150	299.01%	65.72
Tinker Tailor Soldier Spy	Focus	83	68		Thriller	809	6772	23.91	53.84	77.75	21	370.24%	5.47
TMNT		33	63	Monster Force	Action	3110	7799	54.15	40.86	95.01	35	271.46%	24.3
Tooth Fairy	Fox	16	46	Comedy	Comedy	3344	4190	60.02	52.34	112.36	48	234.08%	14
Tower Heist	Relativity	68	61	Revenge	Comedy	3367	7135	78.04	86.5	164.54	75	219.39%	24.03
Toy Story 3	Disney	99	91	Rescue	Animation	4028	27385	415	648.16	1063.16	200	531.58%	110.3
Traitor	Liberty Starz	55	66	Pursuit	Thriller	2054	3831	23.53	4.13	27.66	22	125.74%	7.9
Transformers	Paramount	57	89	Monster Force	Action	4011	17577	319.25	389.03	708.27	150	472.18%	70.5
Transformers: Dark of the Moon	DreamWorks Pictures	35	67	Quest	Action	4088	23937	352.39	770.81	1,123.20	195	576.00%	97.85
Transformers: Revenge of the Fallen 	Paramount	20	76	Revenge	Action	4234	25736	402.1	434.2	836.3	210	398.24%	109
Transporter 3	Independent	36	58	escape	Action	2626	4594	31.72	77.26	108.98	30	363.26%	12.06
Trespass	Independent	11	24	Escape	Thriller			0.02	3.1	3.12	35	8.93%	0.02
Tron: Legacy	Independent	50	67	Fish Out Of Water	Action	3451	12578	148.21	143.2	291.41	170	171.42%	44.03
Tropic Thunder	Paramount	83	69	fish out of water	Comedy	3319	7777	110.46	77.58	188.04	90	208.93%	25.81
True Grit	Paramount	96	86	Revenge	Adventure	3047	8149	171	81.03	252.03	38	663.24%	24
Twilight	Summit	49	82	Love	Romance	3419	20368	176.82	199.85	376.66	37	1018.00%	69.64
Twilight: Breaking Dawn	Independent	26	68	Love	Romance	4061	34012	281.17	421	702.17	110	638.34%	138.12
Tyler Perry's Meet the Browns	Independent	31	36	Discovery	Drama	2006	10011	41.98	0	41.98	20	209.88%	20.08
Tyler Perry's The Family That Preys	Independent	51	36	Discovery	Drama	2070	8397	37.11	0	37.11	10	371.05%	17.38
Tyler Perry's Why Did I get Married	Independent	46	47	Love	Romance	2011	10618	55.2	0.66	55.86	15	372.42%	21.4
Under the Same Moon	Weinstein Co.	72	37	Quest		266	10412	12.59	10.72	23.31	1.7	1371.19%	2.8
Underworld: Rise of the Lycans 	Sony	30	68	Rivalry	Action	2942	7080	45.8	45.55	91.35	35	261.00%	20.8
Unknown	Independent	55	57	The Riddle	Thriller	3043	7183	63.69	67.1	130.79	30	435.95%	21.86
Unstoppable	Fox	86	73	Rescue	Action	3207	7075	81.56	87.94	169.5	95	178.42%	22.69
Untraceable	Independent	14	56	riddle	Thriller	2368	4795	28.69	23.97	52.66	35	150.45%	11.4
Up 	Disney	98	86	Journey and Return	Animation	3766	18085	293	438.3	731.3	175	417.89%	68.1
Up in the Air 	Paramount	90	76	Maturation	Drama	1895	5947	83.82	83	166.82	25	667.28%	11.2
Vacancy	Sony	55	46	Pursuit	Comedy	2551	2980	19.36	15.94	35.3	19	185.79%	7.6
Valentine's Day	Warner Bros.	17	54	Love	Comedy	3655	15351	110.49	107.08	217.57	52	418.40%	56.2
Valkyrie	MGM	58	66	Sacrifice	Thriller	2711	7756	83.08	117.2	200.28	75	267.03%	21.03
Vampires Suck	Independent	4	32	Comedy	Comedy	3233	3774	36.66	43.32	79.98	20	399.90%	12.2
Vanishing on 7th Street	Independent	52	62	Monster Force	Horror			0.02	1.05	1.07	10	10.67%	0
Vantage Point	Sony	35	61	The Riddle		3149	7264	72.27	78.89	151.16	40	377.89%	22.87
Vicky Cristina Barcelona	The Weinstein Company	82	73	temptation	Romance	692	5427	22.84	73.19	96.03	16	600.16%	3.76
W.	Lionsgate	60	42	rivalry	Drama	2030	5175	25.53	3.97	29.5	25.1	117.55%	10.5
Waiting For Forever	Independent	6	53	Love	Romance	3	2972	0.03		0.03	5	0.50%	0.01
Waitress	Independent	89	67	Love	Romance	605	3327	19.07	3.1	22.18	2	1108.97%	2
Walk Hard: The Dewey Cox Story	Sony	75	55	Comedy	Comedy	2650	1575	18.32	2.26	20.58	35	58.79%	4.1
Wall Street: Money Never Sleeps	Independent	54	43	Rivalry	Drama	3565	5333	52.47	78.16	130.63	70	186.61%	19
WALL-E	Disney	96	89	love	Animation	3992	15803	223.78	297.5	521.28	180	289.60%	63.09
Wanted	Universal	73	72	Transformation	Action	3175	16040	134.33	206.92	341.25	75	455.00%	50.93
War Horse	Disney	77	73		Drama	2376	6114	79.04	88.5	167.54	66	253.85%	14.52
Warrior	Lionsgate	83	93	Rivalry	Action	1869	2805	13.66	9.4	23.06	25	92.23%	5.24
Watchmen 	Warner Bros.	64	68	Sacrifice	Action	3611	15291	107.5	77.7	185.3	130	142.54%	55.2
Water For Elephants	20th Century Fox	60	72	Love	Drama	2817	5979	58.71	58.39	117.09	38	308.14%	16.84
We Bought a Zoo	Fox	63	79		Comedy	3117	3003	74.48	26.7	101.18	50	202.36%	9.36
We Own the Night	Sony	55	63	Sacrifice	Drama	2362	4583	28.56	26.26	54.83	21	261.08%	10.8
Welcome Home, Roscoe Jenkins	Universal	24	64	discovery	Comedy	2387	6790	42.19	1.21	43.4	35	124.01%	16.21
What Happens in Vegas	Fox	28	72	Love	Comedy	3215	6274	80.28	139.09	219.37	35	626.76%	20.17
What's Your Number	20th Century Fox	24	50	Transformation	Comedy	3002	1806	14.01	16.42	30.43	20	152.13%	5.42
Whatever Works 	Independent	50	63	Discovery	Comedy	9	29574	5.3	29.8	35.1	15	234.00%	0.26
When in Rome	Disney	15	44	Love	Comedy	2456	5029	32.68	10.36	43.04			12.3
Where the Wild Things Are 	Warner Bros.	73	59	Journey and Return	Adventure	3735	8754	77.23	21.89	99.12	100	99.12%	32.7
Whip It 	Independent	84	73	Maturation	Drama	1721	2702	13	3	16	15	106.67%	4.7
Whiteout 	Warner Bros.	7	28	Pursuit	Action	2745	1791	10.3	1.9	12.2	35	34.86%	4.9
Why Did I Get Married Too?	Lionsgate	27	67	Comedy	Comedy	2155	13591	60.09	0.58	60.67	20	303.35%	29.3
Wild Hogs	Disney	14	72	Transformation	Comedy	3287	12077	168.27	85.35	253.63	90	281.81%	39.7
Winnie The Pooh	Disney	91	79	Quest	Animation	2405	3267	26.69	6.46	33.15	30	110.51%	7.86
Winter's Bone	Independent	94	73	Quest	Drama			6.25	1.54	7.79	2	389.50%	0.8
X-Men Origins: Wolverine 	Fox	37	72	Revenge	Action	4099	20751	179.9	193.2	373.1	150	248.73%	85.1
X-Men: First Class	Disney	87	88	Monster Force	Action	3641	15134	146.41	207.22	353.62	160	221.01%	55.1
Year One 	Sony	14	31	Quest	Adventure	3022	6489	43.33	19.02	62.35	60	103.92%	19.6
Yes Man	Warner Bros.	43	72	Transformation	Comedy	3434	5318	97.69	125.55	223.24	70	318.91%	18.26
Yogi Bear		14	36		Comedy	3515	4669	100.24	102.03	202.27	80	252.84%	16.4
You Again	Independent	18	45	Comedy	Comedy	2548	3300	25.7	6.16	31.86	20	159.30%	8.4
You Don't Mess with the Zohan	Sony	36	50	fish out of water	Comedy	3462	11130	100.02	99.91	199.93	80	249.91%	38.53
You Will Meet a Tall Dark Stranger	Independent	43	35	Love	Comedy	402		3.24	23.42	26.66	22	121.18%	0.16
Your Highness	Universal	26	36	Comedy	Comedy	2769	3380	21.6	3.26	24.86	49.9	49.81%	9.36
Youth in Revolt	The Weinstein Company	68	52	Love	Comedy	1873	3678	15.28	4.34	19.62	18	109.00%	6.9
Zack and Miri Make a Porno	The Weinstein Company	64	70	Love	Romance	3735	3680	31.3	10.64	41.94	24	174.75%	10.07
Zodiac	Paramount	89	73	Pursuit	Thriller	2362	5671	33.08	51.71	84.79	65	130.44%	13.4
Zombieland 	Sony	90	87	Monster Force	Action	3036	8147	75.59	27.2	102.79	23.6	435.55%	24.7
Zookeeper	Happy Madison Productions	14	42	Comedy	Comedy	3482	5763	80.36	89.94	170.3	80	212.88%	20.07
